id_str	tweet_url	created_at	text	lang	retweet_count	screen_name	hashtags	query	user_mention	url	media	in_reply_to_screen_name	in_reply_to_status_id
346991446781477000	https://twitter.com/stekosteko/status/346991446781476864	2013-06-18 14:03:02+00:00	Cantone: digital literacy come proposta di approccio condiviso alle competenze nel nostro settore #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
346992166826017000	https://twitter.com/stekosteko/status/346992166826016769	2013-06-18 14:05:54+00:00	Cantone: necessità di mettere il territorio in condizione di esprimere le proprie esigenze, sennò disoccupazione, sprechi #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
346992343347495000	https://twitter.com/stekosteko/status/346992343347494915	2013-06-18 14:06:36+00:00	Cantone: guardiamo come reagiscono settori ad alto tasso di cambiamento (informatica, medicina) #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
346992649716261000	https://twitter.com/stekosteko/status/346992649716260865	2013-06-18 14:07:49+00:00	De Tommasi: tante accezioni di digital literacy (Eshet-Alkalai), tutte presenti nelle tante anime di #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
346992922727694000	https://twitter.com/stekosteko/status/346992922727694336	2013-06-18 14:08:54+00:00	Cantone: proposta di analisi delle filiere e promozione di reti cooperative, osservatorio sulla digital literacy in archeologia #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
346993401008366000	https://twitter.com/stekosteko/status/346993401008365568	2013-06-18 14:10:48+00:00	Cantone: esempio positivo Orchestra Napoli Smart City, interazione tra discipline diverse nel concreto del territorio #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
346993640276632000	https://twitter.com/lad_unifg/status/346993640276631553	2013-06-18 14:11:45+00:00	@stekosteko @g_gattiglia #archeofoss sempre più Open. Ben oltre i problemi tecnici e gli strumenti tecnologici. Quanta strada è stata fatta!	it	1	lad_unifg	archeofoss	#archeofoss	stekosteko			stekosteko	346984235065819000
346993786397798000	https://twitter.com/stekosteko/status/346993786397798400	2013-06-18 14:12:20+00:00	Cantone: sfumare la separazione tra settori della ricerca, didattica, professione #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
346994311856026000	https://twitter.com/lad_unifg/status/346994311856025604	2013-06-18 14:14:25+00:00	@stekosteko #archeofoss lo scollamento formazione/professione è ormai più di un rischio. Lo dicono i numeri degli iscritti alle magistrali	it	0	lad_unifg	archeofoss	#archeofoss	stekosteko			stekosteko	346991226156892000
346994418085134000	https://twitter.com/stekosteko/status/346994418085134336	2013-06-18 14:14:50+00:00	De Tommasi: impegno reciproco a scambiare informazioni tra tutti i gruppi di lavoro e comunità partecipanti ad #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
346994459545829000	https://twitter.com/fradeve/status/346994459545829376	2013-06-18 14:15:00+00:00	RT @g_gattiglia: #archeofoss Giusti fa sua analisi  di #op2013 e si chiede se  i wiki possano essere una nuova forma di pubblicazione scien…	it	2	fradeve	archeofoss	#archeofoss	g_gattiglia				
346995485413880000	https://twitter.com/pr_archeologo/status/346995485413879808	2013-06-18 14:19:05+00:00	RT @lad_unifg: @stekosteko @g_gattiglia #archeofoss sempre più Open. Ben oltre i problemi tecnici e gli strumenti tecnologici. Quanta strad…	it	1	pr_archeologo	archeofoss	#archeofoss	lad_unifg				
347016306383540000	https://twitter.com/stekosteko/status/347016306383540224	2013-06-18 15:41:49+00:00	A. Rossi su SIUrBe sistema informativo a Benevento #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
347016336909689000	https://twitter.com/PiccoliMusei/status/347016336909688832	2013-06-18 15:41:56+00:00	@stekosteko Questo è un nodo cruciale da sciogliere, sicuramente quello che più di tutti, finora, ha penalizzato gli archeologi #archeofoss	it	2	PiccoliMusei	archeofoss	#archeofoss	stekosteko			stekosteko	346991226156892000
347017837799416000	https://twitter.com/lucacorsato/status/347017837799415808	2013-06-18 15:47:54+00:00	bell'esempio di #semanticmediawiki applicato all'#archeofoss (più accessi aperti sarebbero graditi 	-)) http://t.co/V0ktJ3bXFf	it	0	lucacorsato	semanticmediawiki	#archeofoss		http://www.lasapienzamozia.it/wiki/index.php?title=US.938		
347018052669420000	https://twitter.com/ChiaraMangiante/status/347018052669419520	2013-06-18 15:48:45+00:00	RT @g_gattiglia: #archeofoss @stekosteko facciamo fatica ad allargare la nostra platea: dobbiamo renderci più 'generalisti',più divulgativi	it	5	ChiaraMangiante	archeofoss	#archeofoss	g_gattiglia				
347019280619041000	https://twitter.com/stekosteko/status/347019280619040768	2013-06-18 15:53:38+00:00	Antinori su modellazione 3D del territorio romano di Urbs Salvia, moderna Urbisaglia (MC) con VTerrain #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
347020304608006000	https://twitter.com/Astracane/status/347020304608006144	2013-06-18 15:57:42+00:00	RT @g_gattiglia: @stekosteko dobbiamo fare sforzo per fare un manifesto per rendere idee di #archeofoss un patrimonio collettivo	it	4	Astracane	archeofoss	#archeofoss	g_gattiglia				
347020338636403000	https://twitter.com/Astracane/status/347020338636402689	2013-06-18 15:57:50+00:00	RT @g_gattiglia: #archeofoss @stekosteko facciamo fatica ad allargare la nostra platea: dobbiamo renderci più 'generalisti',più divulgativi	it	5	Astracane	archeofoss	#archeofoss	g_gattiglia				
347024688444228000	https://twitter.com/stekosteko/status/347024688444227584	2013-06-18 16:15:07+00:00	Nurra: frammentazione tra attori del sistema di produzione dei dati archeologici in Sardegna, come in tutta Italia #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
347025271284720000	https://twitter.com/stekosteko/status/347025271284719616	2013-06-18 16:17:26+00:00	Nurra: accordo quadro tra Soprintendenza e Università per la condivisione di dati 44 adesioni in una settimana! #archeofoss	it	1	stekosteko	archeofoss	#archeofoss					
347025612369711000	https://twitter.com/stekosteko/status/347025612369711104	2013-06-18 16:18:48+00:00	Nurra: usiamo il Codice Unico di Identificazione che combina codice ISTAT del comune, coordinate geo #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
347025618879279000	https://twitter.com/FilippoStanco/status/347025618879279104	2013-06-18 16:18:49+00:00	#archeofoss domani il tutorial di G. Gallo @GalloGioProf è anticipato alle 9,30. Il Barcamp @csantagati è anticipato alle 15,45.	it	0	FilippoStanco	archeofoss	#archeofoss	GalloGioProf				
347025859481309000	https://twitter.com/stekosteko/status/347025859481309185	2013-06-18 16:19:46+00:00	Nurra: CUI genera automaticamente numerosi campi della scheda MODI #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
347026097310953000	https://twitter.com/Say_no/status/347026097310953472	2013-06-18 16:20:43+00:00	くそーっ!! #archeofoss が楽しそうだ!!いつか参加したい!!(イタリアでイタリア語だけど…) http://t.co/bbbuQcvmO3	ja	0	Say_no	archeofoss	#archeofoss		http://www.archeofoss.org/			
347026439545160000	https://twitter.com/stekosteko/status/347026439545159680	2013-06-18 16:22:05+00:00	Nurra: livello informativo conforme a CNIPA e INSPIRE #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
347026444129550000	https://twitter.com/lucacorsato/status/347026444129550336	2013-06-18 16:22:06+00:00	RT @stekosteko: Nurra: accordo quadro tra Soprintendenza e Università per la condivisione di dati 44 adesioni in una settimana! #archeofoss	it	1	lucacorsato	archeofoss	#archeofoss	stekosteko				
347029071730983000	https://twitter.com/FilippoStanco/status/347029071730982912	2013-06-18 16:32:32+00:00	"""@GioSkellington: Bella la prima giornata di #archeofoss. Domani ancora #Blender con @GalloGioProf.
Complimenti a @FilippoStanco!"" grazie"	it	0	FilippoStanco	archeofoss	#archeofoss	GioSkellington				
347035404886749000	https://twitter.com/OpusPaulicium/status/347035404886749184	2013-06-18 16:57:42+00:00	RT @g_gattiglia: @stekosteko dobbiamo fare sforzo per fare un manifesto per rendere idee di #archeofoss un patrimonio collettivo	it	6	OpusPaulicium	archeofoss	#archeofoss	g_gattiglia				
347036530897977000	https://twitter.com/SOSViaGaribaldi/status/347036530897977344	2013-06-18 17:02:11+00:00	RT @g_gattiglia: @stekosteko dobbiamo fare sforzo per fare un manifesto per rendere idee di #archeofoss un patrimonio collettivo	it	6	SOSViaGaribaldi	archeofoss	#archeofoss	g_gattiglia				
