id_str	from_user	text	created_at	time	geo_coordinates	iso_language_code	to_user	to_user_id_str	from_user_id_str	in_reply_to_status_id_str	source	profile_image_url	status_url	entities_str								
212890285502505000	stekosteko	Pensieri #archeofoss 2: open data, non cerchiamo standard chimere. Sediamoci a un tavolo con i dati di tutti, condividiamo strutture di base	Wed, 13 Jun 2012 12:52:54 +0000	13/06/2012 12:52:54		it		0	20506953		&lt	a href=&quot	http://twitter.com/&quot	&gt	web&lt	/a&gt		http://a0.twimg.com/profile_images/1498482554/steko2_normal.jpg	http://twitter.com/stekosteko/statuses/212890285502504960	"{""urls"":[],""hashtags"":[{""text"":""archeofoss"",""indices"":[9,20]}],""user_mentions"":[]}"		
212887158674039000	silver_bingo	RT @stekosteko: Pensieri #archeofoss 1: open data fondamentale, ma non dimentichiamoci del software (free e open source), devono convergere	Wed, 13 Jun 2012 12:40:28 +0000	13/06/2012 12:40:28		it		0	157201017		&lt	a href=&quot	http://twitter.com/&quot	&gt	web&lt	/a&gt		http://a0.twimg.com/profile_images/1003675521/zen_normal.jpg	http://twitter.com/silver_bingo/statuses/212887158674038786	"{""urls"":[],""hashtags"":[{""text"":""archeofoss"",""indices"":[25,36]}],""user_mentions"":[{""id"":20506953,""name"":""Stefano Costa"",""indices"":[3,14],""screen_name"":""stekosteko"",""id_str"":""20506953""}]}"		
212883537467154000	AubreyMcFato	RT @stekosteko: Pensieri #archeofoss 1: open data fondamentale, ma non dimentichiamoci del software (free e open source), devono convergere	Wed, 13 Jun 2012 12:26:05 +0000	13/06/2012 12:26:05		it		0	11055732		&lt	a href=&quot	http://twitter.com/&quot	&gt	web&lt	/a&gt		http://a0.twimg.com/profile_images/81820119/prova_normal.jpg	http://twitter.com/AubreyMcFato/statuses/212883537467154433	"{""urls"":[],""hashtags"":[{""text"":""archeofoss"",""indices"":[25,36]}],""user_mentions"":[{""id"":20506953,""name"":""Stefano Costa"",""indices"":[3,14],""screen_name"":""stekosteko"",""id_str"":""20506953""}]}"		
212880741187600000	stekosteko	Pensieri #archeofoss 1: open data fondamentale, ma non dimentichiamoci del software (free e open source), devono convergere	Wed, 13 Jun 2012 12:14:58 +0000	13/06/2012 12:14:58		it		0	20506953		&lt	a href=&quot	http://twitter.com/&quot	&gt	web&lt	/a&gt		http://a0.twimg.com/profile_images/1498482554/steko2_normal.jpg	http://twitter.com/stekosteko/statuses/212880741187600385	"{""urls"":[],""hashtags"":[{""text"":""archeofoss"",""indices"":[9,20]}],""user_mentions"":[]}"		
212869688986837000	g_gattiglia	RT @lad_unifg: #archeofoss Archeosection scaricabile da lunedì su http://t.co/JxzXOCUf	Wed, 13 Jun 2012 11:31:03 +0000	13/06/2012 11:31:03		it		0	335212299		&lt	a href=&quot	http://blackberry.com/twitter&quot	 rel=&quot	nofollow&quot	&gt	Twitter for BlackBerry®&lt	/a&gt		http://a0.twimg.com/profile_images/1441912779/gg1_normal.jpg	http://twitter.com/g_gattiglia/statuses/212869688986836993	"{""urls"":[{""expanded_url"":""http://www.uselessarchaeology.com"",""indices"":[66,86],""display_url"":""uselessarchaeology.com"",""url"":""http://t.co/JxzXOCUf""}],""hashtags"":[{""text"":""archeofoss"",""indices"":[15,26]}],""user_mentions"":[{""id"":139710953,""name"":""Archeologia Digitale"",""indices"":[3,13],""screen_name"":""lad_unifg"",""id_str"":""139710953""}]}"
212863999652540000	g_gattiglia	"RT @lad_unifg: #archeofoss 

Luca Bezzi presenta le new entries di archeos4. Soluzioni importanti per il lavoro quotidiano sul campo."	Wed, 13 Jun 2012 11:08:26 +0000	13/06/2012 11:08:26		it		0	335212299		&lt	a href=&quot	http://twitter.com/#!/download/iphone&quot	 rel=&quot	nofollow&quot	&gt	Twitter for iPhone&lt	/a&gt		http://a0.twimg.com/profile_images/1441912779/gg1_normal.jpg	http://twitter.com/g_gattiglia/statuses/212863999652540416	"{""urls"":[],""hashtags"":[{""text"":""archeofoss"",""indices"":[15,26]}],""user_mentions"":[{""id"":139710953,""name"":""Archeologia Digitale"",""indices"":[3,13],""screen_name"":""lad_unifg"",""id_str"":""139710953""}]}"
212860651184468000	MiciNacha	"RT @lad_unifg: #archeofoss 

Luca Bezzi presenta le new entries di archeos4. Soluzioni importanti per il lavoro quotidiano sul campo."	Wed, 13 Jun 2012 10:55:08 +0000	13/06/2012 10:55:08		it		0	335171671		&lt	a href=&quot	http://twitter.com/#!/download/iphone&quot	 rel=&quot	nofollow&quot	&gt	Twitter for iPhone&lt	/a&gt		http://a0.twimg.com/profile_images/1728085006/Sara_Danubio_normal.jpg	http://twitter.com/MiciNacha/statuses/212860651184467968	"{""urls"":[],""hashtags"":[{""text"":""archeofoss"",""indices"":[15,26]}],""user_mentions"":[{""id"":139710953,""name"":""Archeologia Digitale"",""indices"":[3,13],""screen_name"":""lad_unifg"",""id_str"":""139710953""}]}"
212860121376756000	MorenoTiziani	"RT @lad_unifg: #archeofoss 

Luca Bezzi presenta le new entries di archeos4. Soluzioni importanti per il lavoro quotidiano sul campo."	Wed, 13 Jun 2012 10:53:02 +0000	13/06/2012 10:53:02		it		0	14774005		&lt	a href=&quot	http://twitter.com/#!/download/iphone&quot	 rel=&quot	nofollow&quot	&gt	Twitter for iPhone&lt	/a&gt		http://a0.twimg.com/profile_images/1849265247/Moreno_Tiziani_Anthropos_normal.jpg	http://twitter.com/MorenoTiziani/statuses/212860121376755712	"{""urls"":[],""hashtags"":[{""text"":""archeofoss"",""indices"":[15,26]}],""user_mentions"":[{""id"":139710953,""name"":""Archeologia Digitale"",""indices"":[3,13],""screen_name"":""lad_unifg"",""id_str"":""139710953""}]}"
212853024526316000	lad_unifg	"#archeofoss 

Luca Bezzi presenta le new entries di archeos4. Soluzioni importanti per il lavoro quotidiano sul campo."	Wed, 13 Jun 2012 10:24:50 +0000	13/06/2012 10:24:50	loc: 41.9036,12.4947	it		0	139710953		&lt	a href=&quot	http://twitter.com/#!/download/iphone&quot	 rel=&quot	nofollow&quot	&gt	Twitter for iPhone&lt	/a&gt		http://a0.twimg.com/profile_images/2245638788/archeologia_digitale_normal.png	http://twitter.com/lad_unifg/statuses/212853024526315521	"{""urls"":[],""hashtags"":[{""text"":""archeofoss"",""indices"":[0,11]}],""user_mentions"":[]}"
212835960818373000	stekosteko	@lad_unifg Bravo Denis Francisci! Per chi pensa che #archeofoss sia prima di tutto hacking	Wed, 13 Jun 2012 09:17:02 +0000	13/06/2012 09:17:02		it	lad_unifg	139710953	20506953	212834641068048000	&lt	a href=&quot	http://twitter.com/&quot	&gt	web&lt	/a&gt		http://a0.twimg.com/profile_images/1498482554/steko2_normal.jpg	http://twitter.com/stekosteko/statuses/212835960818372608	"{""urls"":[],""hashtags"":[{""text"":""archeofoss"",""indices"":[52,63]}],""user_mentions"":[{""id"":139710953,""name"":""Archeologia Digitale"",""indices"":[0,10],""screen_name"":""lad_unifg"",""id_str"":""139710953""}]}"		
212834641068048000	lad_unifg	"#archeofoss 
Archeosection scaricabile da lunedì su http://t.co/WjCHDWbr"	Wed, 13 Jun 2012 09:11:47 +0000	13/06/2012 09:11:47	loc: 41.9014,12.4979	it		0	139710953		&lt	a href=&quot	http://twitter.com/#!/download/iphone&quot	 rel=&quot	nofollow&quot	&gt	Twitter for iPhone&lt	/a&gt		http://a0.twimg.com/profile_images/2245638788/archeologia_digitale_normal.png	http://twitter.com/lad_unifg/statuses/212834641068048384	"{""urls"":[{""expanded_url"":""http://www.uselessarchaeology.com"",""indices"":[52,72],""display_url"":""uselessarchaeology.com"",""url"":""http://t.co/WjCHDWbr""}],""hashtags"":[{""text"":""archeofoss"",""indices"":[0,11]}],""user_mentions"":[]}"
